Restaurant ID,Restaurant Name,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
5019,Fortune Deli - Fortune Select Excalibur,Bakery,1000,Indian Rupees(Rs.),No,No,No,No,3,3.6,Yellow,Good,42
4719,India on my Plate - Fortune Select Excalibur,"North Indian, Mughlai",2000,Indian Rupees(Rs.),Yes,No,No,No,4,4,Green,Very Good,111
305400,Orchid - Fortune Select Global,"North Indian, Chinese, Continental",2500,Indian Rupees(Rs.),Yes,No,No,No,4,2.6,Orange,Average,20
309141,Hungry Buffoons,"North Indian, Italian, Mexican",300,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,24
302880,Karim's,"Mughlai, North Indian",1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,2.8,Orange,Average,261
303960,Manhattan Brewery & Bar Exchange,"Finger Food, American, Continental, North Indian, Italian",2000,Indian Rupees(Rs.),No,No,No,No,4,4.6,Dark Green,Excellent,2093
9773,Di Miso,"Korean, Japanese, Chinese, Asian",1500,Indian Rupees(Rs.),No,No,No,No,3,3.6,Yellow,Good,38
309125,Kuuraku,Japanese,1250,Indian Rupees(Rs.),Yes,No,No,No,3,3.9,Yellow,Good,106
18463965,Vapour Bar Exchange,"Continental, Finger Food, Chinese, North Indian",1600,Indian Rupees(Rs.),Yes,No,No,No,3,3.8,Yellow,Good,31
18408054,19 Flavours Biryani,"Mughlai, Hyderabadi",700,Indian Rupees(Rs.),No,Yes,No,No,2,4.1,Green,Very Good,84
2091,Bhai Ji Foods,"North Indian, Chinese",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.3,Orange,Average,165
305790,Captain Bill$ Deliverz,"North Indian, Chinese, Fast Food",1000,Indian Rupees(Rs.),No,Yes,Yes,No,3,2.7,Orange,Average,185
3445,Curry n Phulka,"North Indian, Chinese",550,Indian Rupees(Rs.),No,Yes,No,No,2,2.8,Orange,Average,48
312111,Jaguar,"Chinese, North Indian",800,Indian Rupees(Rs.),Yes,No,No,No,2,2.8,Orange,Average,14
2475,Jalsa Lounge,"North Indian, Chinese",850,Indian Rupees(Rs.),Yes,No,No,No,2,3.2,Orange,Average,37
18361772,Lord of Grillz,"Chinese, North Indian, Italian, Continental",800,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,30
308553,Midnight Cravings Beyond Control,"North Indian, Mughlai, Chinese",800,Indian Rupees(Rs.),No,Yes,No,No,2,3.3,Orange,Average,336
307043,Outback,"Continental, North Indian",1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.4,Orange,Average,106
307304,The Cinnamon Kitchen,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,50
18427868,Dudleys,"American, Continental, Burger",1000,Indian Rupees(Rs.),No,Yes,No,No,3,4.6,Dark Green,Excellent,150
2148,56 Ristorante Italiano,Italian,2200,Indian Rupees(Rs.),Yes,Yes,No,No,4,3.7,Yellow,Good,416
18450874,All Time Cafe,"North Indian, Chinese, Thai",500,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,32
18408063,Baba's,"North Indian, Mughlai",900,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,110
18393697,Chilli Indiana,Italian,500,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good,74
8931,Go Kylin,"Japanese, Chinese, Asian, Malaysian, Thai, Vietnamese",1500,Indian Rupees(Rs.),No,Yes,No,No,3,3.5,Yellow,Good,81
306880,Just for Chai,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,116
18408031,Kabab Mistri,"North Indian, Mughlai, Biryani",550,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,36
304897,Nashta,"Healthy Food, Continental",700,Indian Rupees(Rs.),No,No,No,No,2,3.7,Yellow,Good,224
309136,Nooba,Chinese,1500,Indian Rupees(Rs.),No,No,No,No,3,3.6,Yellow,Good,148
307580,Side Wok,"Burmese, Chinese, Japanese, Malaysian, Thai",2000,Indian Rupees(Rs.),Yes,Yes,No,No,4,3.9,Yellow,Good,280
18430557,Takamaka,"North Indian, Continental, Italian",1700,Indian Rupees(Rs.),Yes,No,No,No,3,3.9,Yellow,Good,67
18441771,The Ark,"Seafood, Mediterranean",2000,Indian Rupees(Rs.),Yes,No,No,No,4,3.7,Yellow,Good,45
18460311,The Gathering Hut,"North Indian, Chinese",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,27
18161583,Wangchuk's Ladakhi Kitchen,"Tibetan, Nepalese",850,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,241
18237346,Daawat-e-Kashmir,"Kashmiri, Mughlai",1200,Indian Rupees(Rs.),No,Yes,No,No,3,4.2,Green,Very Good,146
311662,La Pino'z Pizza,"Pizza, Mexican, Chinese, Italian",1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,4,Green,Very Good,259
18430602,The Diet Kitchen,"Continental, Healthy Food",700,Indian Rupees(Rs.),No,Yes,No,No,2,4,Green,Very Good,20
5172,Om Sweets & Snacks,"North Indian, South Indian, Street Food, Mithai",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.1,Orange,Average,138
6643,Subway,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.8,Orange,Average,101
300978,Taste of Tamil Nadu,"South Indian, Chinese, North Indian",400,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,94
311640,The Bridge - Hotel Clark Inn Gurgaon,"North Indian, Chinese",1400,Indian Rupees(Rs.),Yes,No,No,No,3,2.8,Orange,Average,7
311629,Illusion The Lounge Bar - Hotel Clark Inn Gurgaon,"North Indian, Chinese",1400,Indian Rupees(Rs.),Yes,No,No,No,3,0,White,Not rated,2
